Section,SetId,EffectiveTime,Version,Abbreviation,Long Form,,,
adverseReaction,b07f23d8-97ec-4a50-984a-b7dea69f9705,10/7/2010,1,IFIS,Intraoperative Floppy Iris Syndrome,,,
adverseReaction,b07f23d8-97ec-4a50-984a-b7dea69f9705,10/7/2010,1,PSA,prostate-specific antigen,,,
adverseReaction,e222620f-0dc7-4d2d-8ea1-246189d8af9b,5/1/2010,9,GI,gastrointestinal,,,
adverseReaction,51e4144a-489e-436c-609a-39305f8f56ba,11/9/2011,20,TEN,toxic epidermal necrolysis,,,
adverseReaction,fcfc9676-4edc-460e-6199-8161b824908f,4/14/2008,10,ANA,antinuclear antibodies,,,
adverseReaction,9621AFB9-BC1E-41A0-91AC-59266491FE5F,10/2/2008,1,ADH,antidiuretic hormone,,,
adverseReaction,e39d9a3d-5d3a-4bb6-aab1-fdbb2a598606,7/6/2011,4,ie,infrequently,,,
adverseReaction,6ebf24fd-41cd-4b3c-8176-a1436253ba2d,2/9/2012,6,SGOT,significant increase was observed in median AST,,,
adverseReaction,147ac314-1b2a-4c17-8c51-57cfe361b7fb,12/22/2011,5,ISMN,Isosorbide Mononitrate,,,
adverseReaction,7d9d8a97-66ec-40fc-a160-d282c8205e7a,3/27/2012,1,EPS,extrapyramidal symptoms,,,
adverseReaction,7d9d8a97-66ec-40fc-a160-d282c8205e7a,3/27/2012,1,SJS,Stevens-Johnson syndrome,,,
adverseReaction,7d9d8a97-66ec-40fc-a160-d282c8205e7a,3/27/2012,1,CBC,complete blood count,,,
adverseReaction,7d9d8a97-66ec-40fc-a160-d282c8205e7a,3/27/2012,1,SIADH,syndrome of inappropriate antidiuretic hormone secretion,,,
adverseReaction,000dde4b-1d94-442f-94c0-26e283e04d88,2/3/2010,8,SIADH,syndrome of inappropriate antidiuretic hormone secretion,,,
adverseReaction,9a2b64bb-011a-4b23-b097-7dce576c57f8,10/12/2011,1,PGTC,primary generalized tonic-clonic,,,
adverseReaction,b073b082-7b57-4423-8c06-4fd4263d6f84,9/10/2010,4,SARs,serious adverse reactions,,,
adverseReaction,b073b082-7b57-4423-8c06-4fd4263d6f84,9/10/2010,4,CTC,Common Toxicity Criteria,,,
adverseReaction,54de10ef-fe5f-4930-b91d-6bbb04c664bd,1/28/2011,6,LDL,low density lipoprotein,,,
adverseReaction,54de10ef-fe5f-4930-b91d-6bbb04c664bd,1/28/2011,6,CPK,creatine phosphokinase,,,
adverseReaction,54de10ef-fe5f-4930-b91d-6bbb04c664bd,1/28/2011,6,APTC,Anti-Platelet Trialists' Collaborations,,,
adverseReaction,0ebcca1e-ca16-4483-429a-aec5dcacd1dc,4/24/2008,7,ANA,antinuclear antibodies,,,
adverseReaction,D7FA1D79-4CD3-4A55-B74B-B31E82E616A3,1/1/2007,1,SGOT,significant increase was observed in median AST,,,
adverseReaction,b4c5fede-6eb9-4984-ad79-3f33acf0c15f,11/22/2010,100,SGOT,significant  increase was observed in median AST,,,
adverseReaction,c4877476-24ca-31d3-9392-ea14e2f929b8,2/4/2009,2,BUN,blood urea nitrogen,,,
adverseReaction,0f131f23-80dd-4a42-893a-b7d86cd0e037,7/13/2011,18,EPS,extrapyramidal symptoms,,,
adverseReaction,0f131f23-80dd-4a42-893a-b7d86cd0e037,7/13/2011,18,SJS,Stevens-Johnson syndrome,,,
adverseReaction,0f131f23-80dd-4a42-893a-b7d86cd0e037,7/13/2011,18,CBC,complete blood count,,,
adverseReaction,0f131f23-80dd-4a42-893a-b7d86cd0e037,7/13/2011,18,SIADH,syndrome of inappropriate antidiuretic hormone secretion,,,
adverseReaction,285e60f8-2404-47d0-a171-a4f075d6f418,1/13/2012,1,MedDRA’s,Medical Dictionary for Regulatory Activities,,,
adverseReaction,3275b824-3f82-4151-2ab2-0036a9ba0acc,6/15/2012,37,LDH,lactic dehydrogenase,,,
adverseReaction,3275b824-3f82-4151-2ab2-0036a9ba0acc,6/15/2012,37,TTP/HUS,thrombocytopenic purpura/hemolytic uremic syndrome,,,
adverseReaction,3275b824-3f82-4151-2ab2-0036a9ba0acc,6/15/2012,37,CMV,cytomegalovirus,,,
adverseReaction,304d0be4-0c13-4dbb-8ffb-b2e7caa7fb1e,3/8/2012,1,SIADH,syndrome of inappropriate antidiuretic hormone secretion,,,
adverseReaction,153d3376-4e38-4f5e-8bf7-4b77bcbb2ebe,11/3/2011,1,GI,gastrointestinal,,,
adverseReaction,3231dc15-5ce2-cf61-7d1f-bd86704269ae,10/20/2011,6,ANLL,acute non-lymphocytic leukemia,,,
adverseReaction,922d17f7-58c7-7b82-5f80-b808a9db5da2,8/1/2011,9,RLS,restless leg syndrome,,,
adverseReaction,922d17f7-58c7-7b82-5f80-b808a9db5da2,8/1/2011,9,NPN,nonprotein nitrogen,,,
adverseReaction,b136813b-7831-4d7c-b68d-f646200905e3,7/1/2011,1,IFIS,Intraoperative Floppy Iris Syndrome,,,
adverseReaction,9c72d2f4-c586-4456-80b3-cec69b7d9ee0,3/23/2012,7,BUN,blood urea increased,,,
adverseReaction,254d072d-c684-4a5c-aa19-a40d76f8385a,11/30/2010,3,ALT,alanine aminotransferase,,,
adverseReaction,254d072d-c684-4a5c-aa19-a40d76f8385a,11/30/2010,3,AST,aspartate aminotransferase,,,
adverseReaction,a6292311-9cb2-49ff-b8bf-12e2dbd196cd,3/6/2012,1,BUN,blood urea increased,,,
adverseReaction,9e58806e-08ba-4813-885a-bde5cf82b26d,1/9/2012,1,ALT,Abnormalities                                               Increases in serum transaminase,,,
adverseReaction,19ee9e35-356b-4487-be7a-654fe88d8658,3/9/2011,1,rare,Renal Failure,,,
adverseReaction,1292A04E-7220-4B2D-AE6F-334E1277000C,4/9/2008,1,SSRIs,selective serotonin reuptake inhibitors,,,
adverseReaction,36087b99-a193-4dee-a103-8739484f4591,4/20/2010,2,GI,gastrointestinal,,,
adverseReaction,5914ef00-19b1-4e22-9ad3-2b62b455af9d,9/29/2010,1,GI,gastrointestinal,,,
adverseReaction,24998e63-f01e-4a07-be5b-203aadd46941,3/23/2012,3702,rare,Renal Failure,,,
adverseReaction,79000ef8-702c-47ec-aafc-9bc1dfd83e77,5/24/2010,1,ANA,antinuclear antibodies,,,
adverseReaction,cd4f6a14-a2eb-4157-83a7-91ab4e9926e5,9/10/2010,1,ANA,antinuclear antibodies,,,
adverseReaction,82effea8-5782-4aa5-969e-b635423ae3c6,10/22/2010,1,EPS,extrapyramidal symptoms,,,
adverseReaction,A4A44EB4-E84D-47BE-BFA4-9B1B193DD3F9,2/26/2009,1,EBV,Epstein Barr Virus,,,
adverseReaction,c470ff87-657d-4051-8422-19931f822cd4,12/12/2011,2,IPSC,Independent Pediatric Safety Committee,,,
adverseReaction,c470ff87-657d-4051-8422-19931f822cd4,12/12/2011,2,cUTI,complicated urinary tract infections,,,
adverseReaction,0e7f054c-7a27-4192-bd1c-6115d8be858f,6/1/2012,1,ALT,"align=""left"">&#160;&#160;&#160;&#160;Elevated SGPT",,,
adverseReaction,0e7f054c-7a27-4192-bd1c-6115d8be858f,6/1/2012,1,AST,"align=""left"">&#160;&#160;&#160;&#160;Elevated SGOT",,,
adverseReaction,7ccd3733-c3af-4a11-8500-0f99194c1472,1/12/2012,4,DRESS,drug rash with eosinophilia and systemic symptoms,,,
adverseReaction,7ccd3733-c3af-4a11-8500-0f99194c1472,1/12/2012,4,SIADH,syndrome of inappropriate antidiuretic hormone secretion,,,
adverseReaction,51c9a29c-a285-40d0-bf3a-7e8c944ee39c,3/7/2011,1,WHO,World Health Organization,,,
adverseReaction,51c9a29c-a285-40d0-bf3a-7e8c944ee39c,3/7/2011,1,SSRI,selective serotonin reuptake inhibitor,,,
adverseReaction,1eb2ffc4-d6d9-4efb-9f88-8434214d047e,7/14/2011,7,URI,Upper Respiratory Tract Infection,,,
adverseReaction,1eb2ffc4-d6d9-4efb-9f88-8434214d047e,7/14/2011,7,SAR,seasonal allergic rhinitis,,,
adverseReaction,4bc249f2-7e8b-05cb-38ad-3085e947e0f1,11/18/2011,9,ALT,"align=""left"" colspan=""1"" rowspan=""1"">SGPT",,,
adverseReaction,4bc249f2-7e8b-05cb-38ad-3085e947e0f1,11/18/2011,9,AST,"align=""left"" colspan=""1"" rowspan=""1"">SGOT",,,
adverseReaction,d5a26c5e-9c3e-4781-8c08-62b91d21a68d,11/7/2006,1,HDL,high-density lipoprotein,,,
adverseReaction,F9A4752B-FDB0-4E26-A024-0C98D55F9DCA,8/12/2008,1,GI,Gastrointestinal,,,
adverseReaction,7acb5b4b-5330-46b0-a400-90095826be43,6/7/2011,3,IPSC,Independent Pediatric Safety Committee,,,
adverseReaction,7acb5b4b-5330-46b0-a400-90095826be43,6/7/2011,3,cUTI,complicated urinary tract infections,,,
adverseReaction,3ccada47-7eb9-285d-5059-06afb4466114,1/31/2008,1,i.e.,into a limited,,,
adverseReaction,360a3cca-d823-468e-8cd0-d49f482e3d5e,5/12/2011,2,EEG,electroencephalogram,,,
adverseReaction,4c149192-bfdf-4da2-abac-be4fa3e17c56,3/14/2011,4,WHO,World Health Organization,,,
adverseReaction,4c149192-bfdf-4da2-abac-be4fa3e17c56,3/14/2011,4,SSRI,selective serotonin reuptake inhibitor,,,
adverseReaction,aa530dfd-3a48-46b9-9678-a7bc48316e41,10/1/2009,3,TSS,toxic shock syndrome,,,
adverseReaction,837a54d9-e335-4af2-b3c7-a993af619a6d,12/1/2011,1,HDL,High Density Lipoprotein,,,
adverseReaction,ca9d4aff-ffdf-4a46-ad20-e47e5886a19e,6/28/2010,2,TC,total cholesterol,,,
adverseReaction,ca9d4aff-ffdf-4a46-ad20-e47e5886a19e,6/28/2010,2,TG,triglycerides,,,
adverseReaction,760d589c-24f1-c89a-bc01-ea57101b2f20,11/1/2003,1,SIADH,syndrome of inappropriate antidiuretic hormone,,,
adverseReaction,27bee6c9-118a-4609-8949-2eb161b0c5c4,2/28/2012,3593,VALIANT,Valsartan in Acute Myocardial Infarction Trial,,,
adverseReaction,71bdbbb9-8696-416d-bed4-7259929c0161,5/18/2011,5,URI,upper respiratory tract infection,,,
adverseReaction,71bdbbb9-8696-416d-bed4-7259929c0161,5/18/2011,5,SAR,seasonal allergic rhinitis,,,
adverseReaction,636665be-9d7e-443a-8134-e8cc47e6ba24,6/19/2012,2,ALT,at baseline <3 times ULN,,,
adverseReaction,29b69da9-3f02-4863-ad22-6cbffba4291e,1/18/2012,1,ALT,alanine aminotransferase,,,
adverseReaction,29b69da9-3f02-4863-ad22-6cbffba4291e,1/18/2012,1,AST,aspartate aminotransferase,,,
adverseReaction,939b5d1f-9fb2-4499-80ef-0607aa6b114e,5/14/2012,10,ELISAs,Enzyme?linked immunosorbent assays,,,
adverseReaction,82f5292b-b113-4f10-9469-04386fa8e9d4,10/22/2009,5,EEG,electroencephalogram,,,
adverseReaction,6f6f6cc7-0833-410c-8889-206addebbfa3,4/1/2010,1,JRA,Juvenile Rheumatoid Arthritis,,,
adverseReaction,c129f662-9ae7-45b6-9a02-15b569e051fc,6/1/2010,1,ALT,Abnormalities                                               Increases in serum transaminase,,,
adverseReaction,dfecf849-5261-438a-bd1c-68a7a72c6e3a,4/6/2012,3,TEN,Toxic epidermal necrolysis,,,
adverseReaction,087507ee-8b55-4897-a888-ce363087659b,9/10/2010,1,URI,Upper Respiratory Tract Infection,,,
adverseReaction,087507ee-8b55-4897-a888-ce363087659b,9/10/2010,1,SAR,seasonal allergic rhinitis,,,
adverseReaction,2e5365ff-cb2a-4b16-b2c7-e35c6bf2de13,4/22/2011,9,MAS,macrophage activation syndrome,,,
adverseReaction,2e5365ff-cb2a-4b16-b2c7-e35c6bf2de13,4/22/2011,9,NSAIDs,nonsteroidal anti-inflammatory drugs,,,
adverseReaction,076da359-b3d0-44f7-8c0e-662f5b7a8668,3/12/2010,2,Table 3,the laboratory abnormalities described for Study 934,,,
adverseReaction,be478f3c-40f6-47cc-8ab9-f420a9372b1c,10/24/2010,1,TEN,Toxic epidermal necrolysis,,,
adverseReaction,be478f3c-40f6-47cc-8ab9-f420a9372b1c,10/24/2010,1,ADH,antidiuretic hormone,,,
adverseReaction,be478f3c-40f6-47cc-8ab9-f420a9372b1c,10/24/2010,1,SJS,Stevens-Johnson syndrome,,,
adverseReaction,4633eab3-2c9e-4a5f-a282-108445b7cea7,9/16/2010,28,BUN,libido<br/>Rhinorrhea<br/>Flushing<br/>Hyperuricemia<br/>Hyperglycemia<br/>Hyponatremia<br/>Hypochloremia<br/>Increase  in serum urea nitrogen,,,
adverseReaction,a293cece-e97a-4e67-be72-b187568e3b11,1/1/2010,1,IBS,irritable bowel syndrome,,,
adverseReaction,a293cece-e97a-4e67-be72-b187568e3b11,1/1/2010,1,BPH,benign prostatic hypertrophy,,,
adverseReaction,a293cece-e97a-4e67-be72-b187568e3b11,1/1/2010,1,AUR,Acute urinary retention,,,
adverseReaction,a293cece-e97a-4e67-be72-b187568e3b11,1/1/2010,1,OAB,overactive bladder,,,
adverseReaction,1FE32FFA-3D69-420F-CC81-B10BB1AFD5BA,9/19/2008,1,AST,aspartate transaminase,,,
adverseReaction,1FE32FFA-3D69-420F-CC81-B10BB1AFD5BA,9/19/2008,1,ALT,alanine transaminase,,,
adverseReaction,c4597231-fec0-435d-a0c6-8c237e3d60a9,10/20/2009,3,BUN,blood urea increased,,,
adverseReaction,679af699-714d-a3a3-674b-fc9ae4474a9a,8/25/2010,1,I.V./P.O.,involving more than 750 patients treated with azithromycin,,,
adverseReaction,10360cf0-1671-3cbe-cd7c-2c8e8753bd1b,1/1/2009,2,LMWH,low molecular weight heparin,,,
adverseReaction,457d7810-23f1-4318-9561-2cd58a9cf973,11/15/2011,4,gGT,gamma-glutamyl transpeptidase,,,
adverseReaction,ADA307F1-B6B1-4B64-A060-5C254B1948F2,3/28/2006,1,BUN,blood urea increased,,,
adverseReaction,189b7b6a-9717-44eb-b87b-fd3e985b2268,5/9/2012,3,EE,Erosive Esophagitis,,,
adverseReaction,189b7b6a-9717-44eb-b87b-fd3e985b2268,5/9/2012,3,TEN,toxic epidermal necrolysis,,,
adverseReaction,189b7b6a-9717-44eb-b87b-fd3e985b2268,5/9/2012,3,CK,creatine kinase,,,
adverseReaction,5d1e0e59-f3af-496d-a878-547b5467cd99,2/3/2010,8,SIADH,syndrome of inappropriate antidiuretic hormone secretion,,,
adverseReaction,15c0c2df-f195-45f9-a1e4-1ed2a43c2216,1/26/2012,4,ANA,antinuclear antibodies,,,
adverseReaction,44c45bfe-461f-4398-8f20-ea771b2403ee,7/13/2012,6,HR,hazard ratios,,,
adverseReaction,44c45bfe-461f-4398-8f20-ea771b2403ee,7/13/2012,6,CI,confidence intervals,,,
adverseReaction,44c45bfe-461f-4398-8f20-ea771b2403ee,7/13/2012,6,ADHF,acute decompensated heart failure,,,
adverseReaction,05adc16c-4c2b-46f0-b810-bb18d4106dc5,9/4/2009,2,TSH,thyrotropin stimulating hormone,,,
adverseReaction,37b264f9-b46d-4635-8fab-246b1e08b653,11/2/2011,1,GI,Gastrointestinal,,,
adverseReaction,c1b5d801-336f-4541-a7d9-a8d4a110a4cc,9/29/2010,3,SAEs,Serious adverse events,,,
adverseReaction,4899b6d9-c080-4209-93fc-5b08394895e7,3/1/2012,2,BUN,blood urea nitrogen,,,
adverseReaction,74d9e09f-b9aa-42ee-b1b8-293dca821dcf,3/17/2008,1,SSRIs,selective serotonin reuptake inhibitors,,,
adverseReaction,97ec87b2-322a-438b-ba95-69040c580eb6,8/18/2010,3,ANA,antinuclear antibodies,,,
adverseReaction,f639b9fe-0eb9-49bc-ab1d-a867c8b26b91,5/17/2011,1,IFIS,Intraoperative Floppy Iris Syndrome,,,
adverseReaction,5cb9d285-1803-4a99-946a-d0b239b32df6,9/16/2010,6,HVOD,Hepatic veno-occlusive disease,,,
adverseReaction,5cb9d285-1803-4a99-946a-d0b239b32df6,9/16/2010,6,AML,a mixed population of hematological malignancies,,,
adverseReaction,5cb9d285-1803-4a99-946a-d0b239b32df6,9/16/2010,6,TMA,thrombotic micro-angiopathy,,,
adverseReaction,6c95caa4-812e-4e47-bcfc-c641c00db3f7,11/28/2011,3,TSH,thyrotropin stimulating hormone,,,
adverseReaction,2ccdb48e-c14a-4eeb-348c-4920ccfd7465,1/12/2011,18,PT,prothrombin time,,,
adverseReaction,2ccdb48e-c14a-4eeb-348c-4920ccfd7465,1/12/2011,18,INR,international normalized ratio,,,
adverseReaction,2ccdb48e-c14a-4eeb-348c-4920ccfd7465,1/12/2011,18,cIAI,complicated intra-abdominal infections,,,
adverseReaction,2ccdb48e-c14a-4eeb-348c-4920ccfd7465,1/12/2011,18,CABP,community-acquired bacterial pneumonia,,,
adverseReaction,2ccdb48e-c14a-4eeb-348c-4920ccfd7465,1/12/2011,18,aPTT,and Lymphatic System: partial thromboplastin time,,,
adverseReaction,2ccdb48e-c14a-4eeb-348c-4920ccfd7465,1/12/2011,18,cSSSI,complicated skin and skin structure infections,,,
adverseReaction,61dee012-43af-0e9a-3843-9b9b91e022c4,3/21/2012,3,AZA,Azathioprine,,,
adverseReaction,61dee012-43af-0e9a-3843-9b9b91e022c4,3/21/2012,3,PTDM,Post-Transplant Diabetes Mellitus,,,
adverseReaction,61dee012-43af-0e9a-3843-9b9b91e022c4,3/21/2012,3,AZA,Tacrolimus/Azathioprine,,,
adverseReaction,1cc22d45-f09a-49e1-896c-01ef9f80822f,6/6/2011,1,ANA,antinuclear antibodies,,,
adverseReaction,e4e9610a-765b-4237-a598-0f4b27a4553e,6/1/2010,1,ALT,Abnormalities                                                Increases in serum transaminase,,,
adverseReaction,a58fe03c-2b5c-40dc-b592-3e376b2dc9f0,10/10/2010,4,HAM-D,Hamilton Depression Rating Scale,,,
adverseReaction,e07fa54e-f4ee-496d-a7e9-533c85564be1,1/17/2011,1,i.e.,into a limited,,,
adverseReaction,805cecd0-fd1f-11dd-87af-0800200c9a66,2/29/2012,4,MMPs,matrix metalloproteinases,,,
adverseReaction,e8b6ccc2-e6e7-45fd-ab66-c312bcbe2b01,6/19/2012,10,EXCEL,Expanded Clinical Evaluation of Lovastatin,,,
adverseReaction,8E4710A7-8757-49BE-8BEC-A1DC39E6C695,1/22/2007,1,ECOG,Eastern Cooperative Oncology Group,,,
adverseReaction,8E4710A7-8757-49BE-8BEC-A1DC39E6C695,1/22/2007,1,DCIS,Ductal Carcinoma in Situ,,,
adverseReaction,84a1f925-c2f6-402e-bf35-dd65dad9545d,11/10/2010,1,ALT,ACEON® Tablets vs 0.9% placebo,,,
adverseReaction,a5fcb10d-31f6-40bd-8e0e-f01e2eb8ef7f,9/2/2010,1,CSOM,Chronic Suppurative Otitis Media,,,
adverseReaction,c33d82ae-7991-443f-8e48-5832c02ea450,10/19/2010,4,PGTC,primary generalized tonic-clonic,,,
adverseReaction,d6c156b2-99f6-4f26-9430-908cd966213c,5/3/2011,1,GI,Gastrointestinal,,,
adverseReaction,c7bc9486-8e61-4ba1-827f-2cd8c304b454,12/28/2010,1,U/L,upper limit of normal,,,
adverseReaction,c7bc9486-8e61-4ba1-827f-2cd8c304b454,12/28/2010,1,ALT,alanine aminotransferase,,,
adverseReaction,c7bc9486-8e61-4ba1-827f-2cd8c304b454,12/28/2010,1,GGT,gamma glutamyl transpeptidase,,,
adverseReaction,ebddb745-81f9-4b25-8739-b2886032ed26,7/28/2009,1,NAION,Non-arteritic anterior ischemic optic neuropathy,,,
adverseReaction,ebddb745-81f9-4b25-8739-b2886032ed26,7/28/2009,1,PDE5,phosphodiesterase type 5,,,
adverseReaction,42ae28da-a613-4db4-b471-efa4e2638dc8,1/28/2009,2,Angioedema,Angiodema and Intestinal Angiodema,,,
adverseReaction,0b781118-9a91-4855-ab7c-669ed73068e9,10/20/2011,2,see,suicide among untreated patients,,,
adverseReaction,33eb5ae0-2867-4bf4-af34-f4bf7946423b,9/23/2011,1,EXCEL,Expanded Clinical Evaluation Of Lovastatin,,,
adverseReaction,AF3CA49D-65E0-47BC-A2E6-A38277DB9408,2/6/2007,1,GI,are:Gastrointestinal,,,
adverseReaction,AF3CA49D-65E0-47BC-A2E6-A38277DB9408,2/6/2007,1,GI,patients.Gastrointestinal,,,
adverseReaction,a8126e6d-33f3-4357-92de-f921d4e8f26f,3/5/2012,1,SGOT,significant increase was observed in median AST,,,
adverseReaction,96a24e36-8580-4219-9150-c1937be7572e,6/1/2011,1,SIADH,syndrome of inappropriate antidiuretic hormone,,,
adverseReaction,27fbf6d5-2853-4f26-bf50-9eac8bb82785,3/1/2012,1,Jaundice,jaundice,,,
adverseReaction,fc01bdbd-9958-4a87-b59f-962a1f697740,11/9/2011,20,EPS,extrapyramidal symptoms,,,
adverseReaction,fc01bdbd-9958-4a87-b59f-962a1f697740,11/9/2011,20,SJS,Stevens-Johnson syndrome,,,
adverseReaction,fc01bdbd-9958-4a87-b59f-962a1f697740,11/9/2011,20,CBC,complete blood count,,,
adverseReaction,fc01bdbd-9958-4a87-b59f-962a1f697740,11/9/2011,20,SIADH,syndrome of inappropriate antidiuretic hormone secretion,,,
adverseReaction,ec5ec477-2d6e-42dc-8620-66f1e51010c0,4/18/2011,2,see,serious hepatotoxicity,,,
adverseReaction,087ff0d3-1761-47ea-a8c1-7c4cb679af97,5/4/2012,6,RLS,restless legs syndrome,,,
adverseReaction,087ff0d3-1761-47ea-a8c1-7c4cb679af97,5/4/2012,6,NPN,non-protein nitrogen,,,
adverseReaction,d17d767b-08c4-4a25-ad73-03a36d56902a,8/16/2011,6,SSRIs,selective serotonin reuptake inhibitors,,,
adverseReaction,6a11f61b-2318-4382-2b91-4366e4bb53fa,7/5/2011,11,AST,aspartate transaminase,,,
adverseReaction,6a11f61b-2318-4382-2b91-4366e4bb53fa,7/5/2011,11,ALT,alanine transaminase,,,
adverseReaction,079ed521-3ff0-47fa-86d5-a336732056cc,6/7/2010,1,LMWH,low molecular weight heparin,,,
adverseReaction,5abbc5cd-7c71-467e-ab9b-74ff29778420,11/11/2011,1,see,suicide among untreated patients,,,
adverseReaction,b45ceaaa-1236-493a-98c1-43df2f4a08f5,10/14/2010,3,EPS,extrapyramidal symptoms,,,
adverseReaction,713b5ac7-53d6-4139-8599-3028f789de4b,1/11/2012,7,EPS,extrapyramidal symptoms,,,
adverseReaction,4ae433f5-52bb-4403-984c-32f0fad50dd1,12/10/2010,1,URI,upper respiratory infection,,,
adverseReaction,A7248ECA-45D6-472D-8C2A-D8887C2594D5,12/6/2007,1,WBC,white blood cell,,,
adverseReaction,026da3c7-c865-4eff-a6e5-381f9645f717,12/6/2010,121,G.I.,gastrointestinal,,,
adverseReaction,bf2e0dfa-d6ca-4961-9627-b666266f58f1,5/10/2010,2,ADH,antidiuretic hormone,,,
